Name,BSE Code,NSE Code,Market Capitalization
Jubilant Ingrev.,543271,JUBLINGREA,10913.94
SignatureGlobal,543990,SIGNATURE,10910.21
Rites,541556,RITES,10902.51
Indian Energy Ex,540750,IEX,10825.13
Godrej Agrovet,540743,GODREJAGRO,10793.33
The Bombay Burmah,501425,BBTC,10779.75
Jupiter Wagons,533272,JWL,10756.91
Intellect Design,538835,INTELLECT,10621.1
IIFL Capital,542773,IIFLCAPS,10608.74
Paras Defence,543367,PARAS,10603.23
Ramkrishna Forg.,532527,RKFORGE,10580.44
Sanofi Consumer,544250,SANOFICONR,10536.53
Waaree Renewab.,534618,WAAREERTL,10478.45
Finolex Inds.,500940,FINPIPE,10461.23
Zensar Tech.,504067,ZENSARTECH,10446.06
Akums Drugs,544222,AKUMS,10435.23
P & G Health Ltd,500126,PGHL,10433.54
Fujiyama Power,544613,UTLSOLAR,10385.6
Reliance Power,532939,RPOWER,10306.35
Lumax Auto Tech.,532796,LUMAXTECH,10294.52
Strides Pharma,532531,STAR,10249.62
Blackbuck,544288,BLACKBUCK,10219.79
HEG,509631,HEG,10206.58
Swan Corp,503310,SWANCORP,10204.57
Tsf Investments,,TSFINV,10190.12
SBFC Finance,543959,SBFC,10175
Karnataka Bank,532652,KTKBANK,10164.48
BLS Internat.,540073,BLS,10149.4
Triven.Engg.Ind.,532356,TRIVENI,10146.59
Wework India,544570,WEWORK,10141.33
Sandur Manganese,504918,SANDUMA,10050.16
Whirlpool India,500238,WHIRLPOOL,10015.29
Blue Jet Health,544009,BLUEJET,9950.84
T R I L,532928,TARIL,9935.53
Relaxo Footwear,530517,RELAXO,9915.19
Varroc Engineer,541578,VARROC,9889.1
MMTC,513377,MMTC,9873
PVR Inox,532689,PVRINOX,9853.38
Medplus Health,543427,MEDPLUS,9839.22
Maple Inf. Trust,543925,,9809.1
